0,1,2,3,4,5,6,7,8,9
970,940,671,391,302,168,476,932,,
419,598,18,149,384,21,946,496,996,
662,667,905,400,195,155,270,,,
514,844,411,215,687,151,,,,
792,374,56,588,589,594,279,398,,
613,49,203,536,919,831,802,,,
243,176,599,138,434,539,63,911,964,748
571,644,424,842,408,163,345,187,,
423,597,721,975,,,,,,
475,737,779,344,364,309,661,441,,
582,483,216,439,895,431,333,238,131,361
885,709,248,64,85,114,,,,
31,889,766,67,790,,,,,
137,960,58,704,625,366,951,111,244,736
84,343,803,950,304,798,,,,
992,654,425,,,,,,,
535,839,909,205,688,562,685,51,822,
954,457,857,395,445,468,672,,,
255,165,95,214,334,113,253,178,,
948,459,753,571,55,173,785,848,,
824,228,615,67,164,737,355,954,415,354
419,988,532,767,338,138,285,,,
64,219,367,,,,,,,
306,880,598,251,100,391,955,231,917,
578,801,857,,,,,,,
960,926,835,132,810,895,278,868,748,
820,782,564,761,860,44,556,145,990,691
477,182,326,,,,,,,
168,894,753,600,214,105,543,122,,
131,91,492,,,,,,,
127,721,52,718,253,192,,,,
75,15,419,30,183,,,,,
366,988,622,963,626,861,584,,,
837,524,408,194,243,790,438,,,
30,881,364,,,,,,,
190,541,446,166,,,,,,
19,599,114,735,30,3,,,,
51,267,626,964,402,884,981,774,829,
261,958,425,830,,,,,,
207,304,195,,,,,,,
223,875,402,137,768,344,209,6,,
794,518,926,,,,,,,
815,224,632,88,718,656,9,824,,
846,253,69,,,,,,,
886,767,831,396,613,265,863,627,,
359,224,807,244,893,470,812,224,771,917
133,797,86,680,542,886,228,129,359,855
807,180,682,771,32,780,625,,,
874,972,635,590,438,242,453,939,325,
394,752,912,138,670,,,,,
87,466,998,657,406,92,481,,,
950,85,880,311,,,,,,
602,371,606,766,79,422,889,775,243,329
900,473,163,962,625,,,,,
65,174,764,892,575,923,,,,
938,224,674,998,167,,,,,
840,451,57,242,,,,,,
416,936,1,902,,,,,,
345,141,185,547,200,666,720,468,78,
244,578,318,219,248,560,960,781,,
447,840,734,824,55,379,424,,,
344,300,631,146,,,,,,
934,927,353,916,,,,,,
77,513,194,309,115,518,815,912,527,
545,435,348,67,627,945,61,942,911,516
625,473,387,678,907,731,311,935,,
906,19,951,855,252,45,,,,
745,431,94,,,,,,,
114,283,905,778,785,,,,,
485,962,974,375,751,83,,,,
400,478,927,9,229,343,518,,,
305,195,537,700,563,826,392,77,,
661,10,428,238,51,,,,,
439,954,895,977,495,71,171,746,301,
732,434,100,275,,,,,,
384,113,918,378,251,682,,,,
263,673,413,755,138,286,362,484,476,
412,328,727,309,417,617,189,390,259,
996,953,426,133,876,640,412,312,805,601
692,4,936,606,639,245,794,479,486,
954,641,448,10,929,,,,,
2,833,370,464,,,,,,
517,561,406,970,573,,,,,
91,282,263,147,446,829,,,,
299,226,616,367,,,,,,
109,148,653,763,891,290,,,,
369,777,960,830,,,,,,
200,859,607,813,351,539,303,28,966,291
807,136,592,802,975,941,340,,,
820,744,100,900,904,76,657,410,295,
60,231,663,103,41,414,,,,
150,583,596,775,571,250,634,,,
23,158,661,428,543,419,354,994,809,114
460,835,246,147,488,539,887,793,54,799
61,727,624,149,,,,,,
865,929,72,80,521,531,,,,
913,30,309,355,325,922,,,,
828,870,31,154,,,,,,
484,108,656,383,554,613,,,,
627,252,749,,,,,,,
